"longitude","latitude","n_records","n_assays","assays_present","n_species","species_present","total_tested","has_multiple_assays"
-71.1167,-34.9667,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",12,FALSE
-71.102,-30.513,2,1,"Serology",2,"Abrothrix longipilis, Abrothrix olivaceus",10,FALSE
-71.1,-32.8167,1,1,"Serology",1,"Oligoryzomys longicaudatus",1,FALSE
-71.089,-32.812,1,1,"Serology",1,"Oligoryzomys longicaudatus",1,FALSE
-71.069,-34.433,1,1,"Serology",1,"Abrothrix olivaceus",2,FALSE
-71.021,-33.436,1,1,"Serology",1,"Abrothrix olivaceus",2,FALSE
-70.994,-34.815,2,1,"Serology",2,"Abrothrix olivaceus, Oligoryzomys longicaudatus",12,FALSE
-70.9923,-34.5857,1,1,"Culture/molecular",1,"Oligoryzomys longicaudatus",1,FALSE
-70.9833333333333,-34.8,2,1,"Serology",2,"Abrothrix olivaceus, Oligoryzomys longicaudatus",3,FALSE
-70.9785746388337,-34.3034738411018,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",4458,FALSE
-70.95,-34.29,1,1,"Culture/molecular",1,"Oligoryzomys longicaudatus",1,FALSE
-70.918,-32.854,1,1,"Serology",1,"Abrothrix olivaceus",1,FALSE
-70.9167,-32.85,1,1,"Serology",1,"Abrothrix olivaceus",1,FALSE
-70.877,-33.681,1,1,"Serology",1,"Abrothrix olivaceus",16,FALSE
-70.8667,-33.65,1,1,"Serology",1,"Abrothrix olivaceus",16,FALSE
-70.845,-33.677,2,1,"Serology",2,"Abrothrix olivaceus, Oligoryzomys longicaudatus",5,FALSE
-70.837,-33.868,1,1,"Serology",1,"Abrothrix olivaceus",3,FALSE
-70.8136,-33.4569,1,1,"Culture/molecular",1,"Oligoryzomys longicaudatus",1,FALSE
-70.776,-34.767,1,1,"Serology",1,"Abrothrix olivaceus",8,FALSE
-70.776,-34.766,2,1,"Serology",2,"Abrothrix olivaceus, Oligoryzomys longicaudatus",3,FALSE
-70.773,-35.125,2,1,"Serology",2,"Abrothrix olivaceus, Oligoryzomys longicaudatus",5,FALSE
-70.7667,-34.7667,2,1,"Serology",2,"Abrothrix olivaceus, Oligoryzomys longicaudatus",3,FALSE
-70.72,-41.123,1,1,"Serology",1,"Oligoryzomys longicaudatus",26,FALSE
-70.696,-33.543,1,1,"Serology",1,"Abrothrix olivaceus",3,FALSE
-70.5918845738323,-39.5557750335837,1,1,"Serology",1,"Oligoryzomys longicaudatus",4,FALSE
-70.534,-34.19,2,1,"Serology",2,"Abrothrix olivaceus, Oligoryzomys longicaudatus",2,FALSE
-70.5333,-34.1833,2,1,"Serology",2,"Abrothrix olivaceus, Oligoryzomys longicaudatus",2,FALSE
